1	0
2	50
3	120
4	220
5	360
6	550
7	800
8	1120
9	1520
10	2010
11	2600
12	3300
13	4120
14	5070
15	6160
16	7400
17	8800
18	10370
19	12120
20	14060
21	16200
22	18550
23	21120
24	23920
25	26960
26	30250
27	33800
28	37620
29	41720
30	46110
31	50800
32	55800
33	61120
34	66770
35	72760
36	79100
37	85800
38	92870
39	100320
40	108160
41	116400
42	125050
43	134120
44	143620
45	153560
46	163950
47	174800
48	186120
49	197920
50	210210
51	223000
52	236300
53	250120
54	264470
55	279360
56	294800
57	310800
58	327370
59	344520
60	362260
61	380600
62	399550
63	419120
64	439320
65	460160
66	481650
67	503800
68	526620
69	550120
70	574310
71	599200
72	624800
73	651120
74	678170
75	705960
76	734500
77	763800
78	793870
79	824720
80	856360
81	888800
82	922050
83	956120
84	991020
85	1026760
86	1063350
87	1100800
88	1139120
89	1178320
90	1218410
91	1259400
92	1301300
93	1344120
94	1387870
95	1432560
96	1478200
97	1524800
98	1572370
99	1620920
100	1670460
101	1721000
102	1772550
103	1825120
104	1878720
105	1933360
