ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1110,Easy,92,1,5
2,1160,Easy,93,1,5
3,1209,Normal,95,1,5
4,1259,Normal,96,1,5
5,1309,Normal,98,1,5
6,1358,Normal,99,1,5
7,1408,Normal,100,1,5
8,1458,Normal,102,1,5
9,1507,Normal,103,1,5
10,1557,Normal,104,1,5
11,1607,Normal,106,1,5
12,1656,Normal,107,1,5
13,1706,Hard,109,1,5
14,1756,Hard,110,1,5
15,1805,Hard,111,1,5
16,1855,Hard,113,1,5
17,1904,Hard,114,1,5
18,1954,Hard,115,1,5
19,2004,Hard,117,1,5
20,2053,Hard,118,1,5
21,2103,Hard,120,1,5
22,2153,Hard,121,1,5
23,2202,Hard,122,1,5
24,2252,Hard,124,1,5
25,2302,HardCode,125,1,5
26,2351,HardCode,126,1,5
27,2401,HardCode,128,1,5
28,2451,HardCode,129,1,5
29,2550,HardCode,132,1,5
30,6095,HardCode,133,1,6
