ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,960,Easy,77,1,6
2,997,Easy,78,1,6
3,1033,Easy,80,1,6
4,1070,Easy,81,1,6
5,1107,Easy,83,1,6
6,1144,Easy,84,1,6
7,1180,Normal,85,1,6
8,1217,Normal,87,1,6
9,1254,Normal,88,1,6
10,1291,Normal,89,1,6
11,1327,Normal,91,1,6
12,1364,Normal,92,1,6
13,1401,Normal,94,1,6
14,1437,Normal,95,1,6
15,1474,Normal,96,1,6
16,1511,Hard,98,1,6
17,1548,Hard,99,1,6
18,1584,Hard,100,1,6
19,1621,Hard,102,1,6
20,1658,Hard,103,1,6
21,1694,Hard,105,1,6
22,1731,Hard,106,1,6
23,1768,Hard,107,1,6
24,1805,Hard,109,1,6
25,1841,Hard,110,1,6
26,1878,Hard,111,1,6
27,1915,Hard,113,1,6
28,1952,Hard,114,1,6
29,2025,Hard,117,1,6
30,4520,HardCode,118,1,6
