ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,670,Easy,56,1,5
2,693,Normal,57,1,4
3,716,Normal,59,1,3
4,738,Normal,60,1,2
5,761,Normal,62,1,1
6,784,Normal,63,1,0
7,807,Normal,64,1,1
8,829,Normal,66,1,2
9,852,Normal,67,1,3
10,875,Normal,68,1,4
11,898,Normal,70,1,5
12,920,Normal,71,1,6
13,943,Hard,73,1,7
14,966,Hard,74,1,0
15,989,Hard,75,1,2
16,1011,Hard,77,1,4
17,1034,Hard,78,1,6
18,1057,Hard,79,1,7
19,1080,Hard,81,1,5
20,1102,Hard,82,1,3
21,1125,Hard,84,1,1
22,1148,Hard,85,1,0
23,1171,HardCode,86,1,2
24,1193,HardCode,88,1,3
25,1216,HardCode,89,1,5
26,1239,HardCode,90,1,6
27,1262,HardCode,92,1,4
28,1284,HardCode,93,1,3
29,1330,HardCode,96,1,2
30,2630,HardCode,97,1,1
