ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1825,Normal,142,1,7
2,1928,Normal,143,1,7
3,2032,Normal,145,1,7
4,2135,Normal,146,1,0
5,2238,Normal,148,1,0
6,2341,Normal,149,1,0
7,2445,Hard,150,1,6
8,2548,Hard,152,1,6
9,2651,Hard,153,1,6
10,2754,Hard,155,1,0
11,2858,Hard,156,1,0
12,2961,Hard,158,1,0
13,3064,Hard,159,1,5
14,3168,Hard,160,1,5
15,3271,Hard,162,1,5
16,3374,Hard,163,1,0
17,3477,Hard,165,1,0
18,3581,Hard,166,1,0
19,3684,HardCode,167,1,4
20,3787,HardCode,169,1,4
21,3891,HardCode,170,1,4
22,3994,HardCode,172,1,0
23,4097,HardCode,173,1,0
24,4200,HardCode,175,1,0
25,4304,HardCode,176,1,3
26,4407,HardCode,177,1,3
27,4510,HardCode,179,1,3
28,4613,HardCode,180,1,0
29,4820,HardCode,183,1,0
30,11825,HardCode,184,1,2
