ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1810,Normal,141,1,1
2,1912,Normal,142,1,0
3,2014,Normal,144,1,3
4,2117,Normal,145,1,0
5,2219,Normal,147,1,4
6,2321,Normal,148,1,0
7,2423,Normal,149,1,5
8,2526,Normal,151,1,6
9,2628,Normal,152,1,0
10,2730,Hard,154,1,7
11,2832,Hard,155,1,0
12,2935,Hard,157,1,6
13,3037,Hard,158,1,5
14,3139,Hard,159,1,4
15,3241,Hard,161,1,3
16,3344,Hard,162,1,2
17,3446,Hard,164,1,1
18,3548,Hard,165,1,0
19,3650,Hard,166,1,0
20,3753,Hard,168,1,1
21,3855,HardCode,169,1,0
22,3957,HardCode,171,1,5
23,4059,HardCode,172,1,0
24,4162,HardCode,174,1,4
25,4264,HardCode,175,1,3
26,4366,HardCode,176,1,0
27,4468,HardCode,178,1,2
28,4571,HardCode,179,1,0
29,4775,HardCode,182,1,1
30,11720,HardCode,183,1,7
