ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1010,Easy,82,1,0
2,1051,Easy,83,1,0
3,1092,Normal,85,1,0
4,1133,Normal,86,1,7
5,1174,Normal,88,1,0
6,1215,Normal,89,1,0
7,1256,Normal,90,1,0
8,1297,Normal,92,1,2
9,1338,Normal,93,1,3
10,1379,Normal,94,1,4
11,1420,Normal,96,1,5
12,1461,Normal,97,1,0
13,1502,Hard,99,1,0
14,1543,Hard,100,1,0
15,1584,Hard,101,1,0
16,1626,Hard,103,1,1
17,1667,Hard,104,1,2
18,1708,Hard,105,1,3
19,1749,Hard,107,1,4
20,1790,Hard,108,1,5
21,1831,Hard,110,1,0
22,1872,Hard,111,1,0
23,1913,Hard,112,1,0
24,1954,Hard,114,1,0
25,1995,HardCode,115,1,1
26,2036,HardCode,116,1,2
27,2077,HardCode,118,1,3
28,2118,HardCode,119,1,4
29,2200,HardCode,122,1,5
30,5045,HardCode,123,1,6
