ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1150,Normal,92,1,7
2,1203,Normal,93,1,7
3,1256,Normal,95,1,7
4,1309,Normal,96,1,7
5,1362,Hard,98,1,7
6,1416,Hard,99,1,7
7,1469,Hard,100,1,7
8,1522,Hard,102,1,7
9,1575,Hard,103,1,7
10,1628,Hard,104,1,7
11,1681,Hard,106,1,7
12,1734,Hard,107,1,7
13,1787,Hard,109,1,7
14,1840,Hard,110,1,7
15,1893,Hard,111,1,6
16,1947,Hard,113,1,6
17,2000,Hard,114,1,6
18,2053,Hard,115,1,6
19,2106,Hard,117,1,6
20,2159,Hard,118,1,6
21,2212,Hard,120,1,6
22,2265,HardCode,121,1,6
23,2318,HardCode,122,1,6
24,2371,HardCode,124,1,6
25,2424,HardCode,125,1,6
26,2478,HardCode,126,1,5
27,2531,HardCode,128,1,5
28,2584,HardCode,129,1,5
29,2690,HardCode,132,1,5
30,6515,HardCode,133,1,3
