ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1645,Easy,130,1,4
2,1735,Easy,131,1,0
3,1825,Normal,133,1,0
4,1916,Normal,134,1,3
5,2006,Normal,136,1,0
6,2096,Normal,137,1,0
7,2186,Normal,138,1,2
8,2276,Normal,140,1,0
9,2366,Normal,141,1,0
10,2457,Normal,143,1,1
11,2547,Normal,144,1,0
12,2637,Normal,146,1,0
13,2727,Hard,147,1,0
14,2817,Hard,148,1,0
15,2907,Hard,150,1,1
16,2998,Hard,151,1,0
17,3088,Hard,153,1,2
18,3178,Hard,154,1,3
19,3268,Hard,155,1,0
20,3358,Hard,157,1,0
21,3448,Hard,158,1,0
22,3539,Hard,160,1,4
23,3629,Hard,161,1,0
24,3719,Hard,163,1,0
25,3809,HardCode,164,1,5
26,3899,HardCode,165,1,0
27,3989,HardCode,167,1,6
28,4080,HardCode,168,1,0
29,4260,HardCode,171,1,7
30,10420,HardCode,172,1,0
