ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1390,Easy,113,1,1
2,1462,Easy,114,1,1
3,1534,Normal,116,1,1
4,1607,Normal,117,1,1
5,1679,Normal,119,1,1
6,1751,Normal,120,1,1
7,1823,Normal,121,1,1
8,1896,Normal,123,1,2
9,1968,Normal,124,1,2
10,2040,Normal,126,1,2
11,2112,Normal,127,1,2
12,2185,Normal,129,1,2
13,2257,Hard,130,1,2
14,2329,Hard,131,1,2
15,2401,Hard,133,1,2
16,2474,Hard,134,1,2
17,2546,Hard,136,1,2
18,2618,Hard,137,1,2
19,2690,Hard,138,1,2
20,2763,Hard,140,1,2
21,2835,Hard,141,1,3
22,2907,Hard,143,1,3
23,2979,Hard,144,1,3
24,3052,Hard,146,1,3
25,3124,HardCode,147,1,3
26,3196,HardCode,148,1,3
27,3268,HardCode,150,1,3
28,3341,HardCode,151,1,3
29,3485,HardCode,154,1,3
30,8805,HardCode,155,1,4
