ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,810,Easy,62,1,2
2,835,Normal,63,1,2
3,860,Normal,65,1,2
4,884,Normal,66,1,2
5,909,Normal,68,1,2
6,934,Normal,69,1,2
7,959,Normal,70,1,2
8,984,Normal,72,1,3
9,1009,Normal,73,1,3
10,1033,Normal,74,1,3
11,1058,Normal,76,1,3
12,1083,Normal,77,1,3
13,1108,Hard,79,1,3
14,1133,Hard,80,1,0
15,1158,Hard,81,1,0
16,1182,Hard,83,1,0
17,1207,Hard,84,1,2
18,1232,Hard,85,1,2
19,1257,Hard,87,1,2
20,1282,Hard,88,1,4
21,1307,Hard,90,1,4
22,1331,HardCode,91,1,4
23,1356,HardCode,92,1,4
24,1381,HardCode,94,1,5
25,1406,HardCode,95,1,5
26,1431,HardCode,96,1,5
27,1456,HardCode,98,1,5
28,1480,HardCode,99,1,0
29,1530,HardCode,102,1,1
30,3260,HardCode,103,1,2
