ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1465,Normal,118,1,1
2,1542,Normal,119,1,2
3,1620,Normal,121,1,3
4,1697,Normal,122,1,0
5,1775,Normal,124,1,0
6,1852,Normal,125,1,0
7,1929,Hard,126,1,4
8,2007,Hard,128,1,0
9,2084,Hard,129,1,0
10,2162,Hard,131,1,5
11,2239,Hard,132,1,0
12,2317,Hard,134,1,7
13,2394,Hard,135,1,0
14,2471,Hard,136,1,6
15,2549,Hard,138,1,0
16,2626,Hard,139,1,0
17,2704,Hard,141,1,5
18,2781,Hard,142,1,4
19,2858,HardCode,143,1,0
20,2936,HardCode,145,1,0
21,3013,HardCode,146,1,1
22,3091,HardCode,148,1,2
23,3168,HardCode,149,1,0
24,3246,HardCode,151,1,5
25,3323,HardCode,152,1,0
26,3400,HardCode,153,1,8
27,3478,HardCode,155,1,0
28,3555,HardCode,156,1,7
29,3710,HardCode,159,1,0
30,9330,HardCode,160,1,2
