ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1450,Easy,117,1,1
2,1526,Easy,118,1,0
3,1603,Easy,120,1,0
4,1679,Easy,121,1,2
5,1756,Easy,123,1,0
6,1832,Easy,124,1,0
7,1908,Normal,125,1,3
8,1985,Normal,127,1,0
9,2061,Normal,128,1,0
10,2137,Normal,130,1,4
11,2214,Normal,131,1,0
12,2290,Normal,133,1,0
13,2367,Normal,134,1,5
14,2443,Normal,135,1,0
15,2519,Normal,137,1,0
16,2596,Hard,138,1,6
17,2672,Hard,140,1,0
18,2748,Hard,141,1,0
19,2825,Hard,142,1,0
20,2901,Hard,144,1,7
21,2978,Hard,145,1,0
22,3054,Hard,147,1,0
23,3130,Hard,148,1,3
24,3207,Hard,150,1,0
25,3283,Hard,151,1,0
26,3359,Hard,152,1,2
27,3436,Hard,154,1,0
28,3512,Hard,155,1,0
29,3665,Hard,158,1,4
30,9265,HardCode,159,1,5
