ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,970,Easy,78,1,7
2,1008,Easy,79,1,7
3,1045,Easy,81,1,7
4,1083,Easy,82,1,7
5,1120,Easy,84,1,7
6,1158,Easy,85,1,7
7,1196,Normal,86,1,7
8,1233,Normal,88,1,7
9,1271,Normal,89,1,7
10,1308,Normal,90,1,7
11,1346,Normal,92,1,7
12,1383,Normal,93,1,7
13,1421,Normal,95,1,7
14,1459,Normal,96,1,7
15,1496,Normal,97,1,7
16,1534,Hard,99,1,7
17,1571,Hard,100,1,7
18,1609,Hard,101,1,7
19,1647,Hard,103,1,7
20,1684,Hard,104,1,7
21,1722,Hard,106,1,7
22,1759,Hard,107,1,7
23,1797,Hard,108,1,7
24,1834,Hard,110,1,7
25,1872,Hard,111,1,7
26,1910,Hard,112,1,7
27,1947,Hard,114,1,7
28,1985,Hard,115,1,7
29,2060,Hard,118,1,7
30,4625,HardCode,119,1,7
