ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,50,Easy,36,1,0
2,56,Easy,37,1,1
3,63,Normal,38,1,2
4,69,Normal,39,1,3
5,76,Normal,40,1,4
6,82,Normal,41,1,5
7,89,Normal,42,1,6
8,95,Normal,44,1,7
9,102,Normal,45,1,1
10,108,Normal,46,1,2
11,115,Normal,47,1,3
12,121,Normal,48,1,4
13,128,Normal,49,1,5
14,134,Normal,50,1,6
15,141,Normal,51,1,7
16,147,Normal,52,1,0
17,154,Hard,53,1,1
18,160,Hard,54,1,2
19,167,Hard,55,1,3
20,173,Hard,56,1,4
21,180,Hard,57,1,5
22,186,Hard,59,1,6
23,193,HardCode,60,1,7
24,199,HardCode,61,1,2
25,225,HardCode,65,1,3
26,400,HardCode,65,1,4
