ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1330,Easy,109,1,1
2,1398,Easy,110,1,1
3,1466,Easy,112,1,1
4,1534,Easy,113,1,1
5,1602,Easy,115,1,1
6,1671,Easy,116,1,1
7,1739,Normal,117,1,1
8,1807,Normal,119,1,1
9,1875,Normal,120,1,1
10,1943,Normal,122,1,1
11,2011,Normal,123,1,1
12,2079,Normal,125,1,1
13,2147,Normal,126,1,1
14,2215,Normal,127,1,1
15,2283,Normal,129,1,1
16,2352,Hard,130,1,1
17,2420,Hard,132,1,1
18,2488,Hard,133,1,1
19,2556,Hard,134,1,1
20,2624,Hard,136,1,1
21,2692,Hard,137,1,1
22,2760,Hard,139,1,1
23,2828,Hard,140,1,1
24,2896,Hard,142,1,1
25,2964,Hard,143,1,1
26,3033,Hard,144,1,1
27,3101,Hard,146,1,1
28,3169,Hard,147,1,1
29,3305,Hard,150,1,1
30,8385,HardCode,151,1,7
