ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1020,Easy,83,1,3
2,1062,Normal,84,1,0
3,1104,Normal,86,1,0
4,1146,Normal,87,1,3
5,1188,Normal,89,1,0
6,1229,Normal,90,1,0
7,1271,Normal,91,1,3
8,1313,Normal,93,1,0
9,1355,Normal,94,1,0
10,1397,Normal,95,1,3
11,1439,Normal,97,1,0
12,1481,Normal,98,1,0
13,1523,Hard,100,1,3
14,1565,Hard,101,1,0
15,1607,Hard,102,1,0
16,1648,Hard,104,1,3
17,1690,Hard,105,1,0
18,1732,Hard,106,1,0
19,1774,Hard,108,1,3
20,1816,Hard,109,1,0
21,1858,Hard,111,1,0
22,1900,Hard,112,1,3
23,1942,HardCode,113,1,0
24,1984,HardCode,115,1,0
25,2026,HardCode,116,1,0
26,2067,HardCode,117,1,3
27,2109,HardCode,119,1,0
28,2151,HardCode,120,1,0
29,2235,HardCode,123,1,0
30,5150,HardCode,124,1,4
