ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1050,Normal,86,1,7
2,1094,Normal,87,1,0
3,1139,Normal,89,1,6
4,1183,Normal,90,1,0
5,1228,Hard,92,1,5
6,1272,Hard,93,1,0
7,1317,Hard,94,1,4
8,1361,Hard,96,1,0
9,1406,Hard,97,1,3
10,1450,Hard,98,1,0
11,1495,Hard,100,1,2
12,1539,Hard,101,1,0
13,1584,Hard,103,1,1
14,1628,Hard,104,1,0
15,1673,Hard,105,1,1
16,1717,Hard,107,1,2
17,1762,Hard,108,1,3
18,1806,Hard,109,1,4
19,1851,Hard,111,1,5
20,1895,Hard,112,1,6
21,1940,Hard,114,1,7
22,1984,HardCode,115,1,0
23,2029,HardCode,116,1,0
24,2073,HardCode,118,1,0
25,2118,HardCode,119,1,1
26,2162,HardCode,120,1,0
27,2207,HardCode,122,1,2
28,2251,HardCode,123,1,0
29,2340,HardCode,126,1,3
30,5465,HardCode,127,1,4
