ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,850,Easy,66,1,1
2,878,Normal,67,1,2
3,905,Normal,69,1,1
4,933,Normal,70,1,2
5,960,Normal,72,1,1
6,988,Normal,73,1,2
7,1016,Normal,74,1,1
8,1043,Hard,76,1,2
9,1071,Hard,77,1,1
10,1098,Hard,78,1,2
11,1126,Hard,80,1,1
12,1153,Hard,81,1,2
13,1181,Hard,83,1,1
14,1209,Hard,84,1,2
15,1236,Hard,85,1,1
16,1264,Hard,87,1,2
17,1291,Hard,88,1,1
18,1319,Hard,89,1,2
19,1347,Hard,91,1,1
20,1374,Hard,92,1,2
21,1402,Hard,94,1,1
22,1429,Hard,95,1,2
23,1457,HardCode,96,1,1
24,1484,HardCode,98,1,2
25,1512,HardCode,99,1,1
26,1540,HardCode,100,1,2
27,1567,HardCode,102,1,1
28,1595,HardCode,103,1,2
29,1650,HardCode,106,1,1
30,3365,HardCode,107,1,3
