ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,950,Normal,76,1,5
2,986,Normal,77,1,5
3,1022,Normal,79,1,5
4,1058,Normal,80,1,5
5,1093,Hard,82,1,5
6,1129,Hard,83,1,5
7,1165,Hard,84,1,5
8,1201,Hard,86,1,5
9,1237,Hard,87,1,5
10,1273,Hard,88,1,5
11,1309,Hard,90,1,5
12,1344,Hard,91,1,5
13,1380,Hard,93,1,5
14,1416,Hard,94,1,5
15,1452,Hard,95,1,5
16,1488,Hard,97,1,5
17,1524,Hard,98,1,5
18,1560,Hard,99,1,5
19,1596,Hard,101,1,5
20,1631,Hard,102,1,5
21,1667,Hard,104,1,5
22,1703,HardCode,105,1,5
23,1739,HardCode,106,1,5
24,1775,HardCode,108,1,5
25,1811,HardCode,109,1,5
26,1847,HardCode,110,1,5
27,1882,HardCode,112,1,5
28,1918,HardCode,113,1,5
29,1990,HardCode,116,1,5
30,4415,HardCode,117,1,5
