ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1705,Normal,134,1,2
2,1799,Normal,135,1,0
3,1894,Normal,137,1,2
4,1988,Normal,138,1,2
5,2082,Normal,140,1,0
6,2177,Normal,141,1,2
7,2271,Hard,142,1,1
8,2365,Hard,144,1,2
9,2459,Hard,145,1,0
10,2554,Hard,147,1,2
11,2648,Hard,148,1,2
12,2742,Hard,150,1,3
13,2837,Hard,151,1,2
14,2931,Hard,152,1,2
15,3025,Hard,154,1,5
16,3120,Hard,155,1,0
17,3214,Hard,157,1,2
18,3308,Hard,158,1,0
19,3403,HardCode,159,1,2
20,3497,HardCode,161,1,2
21,3591,HardCode,162,1,0
22,3686,HardCode,164,1,2
23,3780,HardCode,165,1,7
24,3874,HardCode,167,1,2
25,3968,HardCode,168,1,2
26,4063,HardCode,169,1,2
27,4157,HardCode,171,1,0
28,4251,HardCode,172,1,2
29,4440,HardCode,175,1,2
30,10840,HardCode,176,1,5
