ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1110,Normal,92,1,7
2,1160,Normal,93,1,7
3,1209,Normal,95,1,7
4,1259,Normal,96,1,7
5,1309,Normal,98,1,7
6,1358,Normal,99,1,7
7,1408,Normal,100,1,7
8,1458,Normal,102,1,7
9,1507,Normal,103,1,7
10,1557,Normal,104,1,7
11,1607,Normal,106,1,7
12,1656,Normal,107,1,7
13,1706,Hard,109,1,7
14,1756,Hard,110,1,7
15,1805,Hard,111,1,7
16,1855,Hard,113,1,7
17,1904,Hard,114,1,7
18,1954,Hard,115,1,7
19,2004,Hard,117,1,7
20,2053,Hard,118,1,7
21,2103,Hard,120,1,7
22,2153,Hard,121,1,7
23,2202,HardCode,122,1,7
24,2252,HardCode,124,1,7
25,2302,HardCode,125,1,7
26,2351,HardCode,126,1,7
27,2401,HardCode,128,1,7
28,2451,HardCode,129,1,7
29,2550,HardCode,132,1,7
30,6095,HardCode,133,1,0
