ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1315,Normal,108,1,3
2,1382,Normal,109,1,3
3,1449,Normal,111,1,3
4,1516,Normal,112,1,0
5,1583,Normal,114,1,0
6,1650,Normal,115,1,4
7,1717,Normal,116,1,4
8,1784,Normal,118,1,4
9,1852,Normal,119,1,5
10,1919,Normal,120,1,5
11,1986,Normal,122,1,5
12,2053,Normal,123,1,0
13,2120,Hard,125,1,0
14,2187,Hard,126,1,0
15,2254,Hard,127,1,1
16,2321,Hard,129,1,3
17,2388,Hard,130,1,5
18,2455,Hard,131,1,7
19,2522,Hard,133,1,5
20,2589,Hard,134,1,1
21,2656,Hard,136,1,2
22,2723,Hard,137,1,3
23,2791,HardCode,138,1,7
24,2858,HardCode,140,1,4
25,2925,HardCode,141,1,0
26,2992,HardCode,142,1,0
27,3059,HardCode,144,1,0
28,3126,HardCode,145,1,0
29,3260,HardCode,148,1,0
30,8240,HardCode,149,1,6
