ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1345,Easy,110,1,2
2,1414,Easy,111,1,2
3,1483,Easy,113,1,2
4,1552,Easy,114,1,2
5,1622,Easy,116,1,2
6,1691,Easy,117,1,2
7,1760,Normal,118,1,2
8,1829,Normal,120,1,2
9,1898,Normal,121,1,2
10,1967,Normal,123,1,2
11,2036,Normal,124,1,2
12,2106,Normal,126,1,2
13,2175,Normal,127,1,2
14,2244,Normal,128,1,2
15,2313,Normal,130,1,2
16,2382,Hard,131,1,2
17,2451,Hard,133,1,2
18,2520,Hard,134,1,2
19,2589,Hard,135,1,2
20,2659,Hard,137,1,2
21,2728,Hard,138,1,2
22,2797,Hard,140,1,2
23,2866,Hard,141,1,2
24,2935,Hard,143,1,2
25,3004,Hard,144,1,2
26,3073,Hard,145,1,2
27,3143,Hard,147,1,2
28,3212,Hard,148,1,2
29,3350,Hard,151,1,2
30,8490,HardCode,152,1,6
