ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,870,Easy,68,1,6
2,899,Easy,69,1,6
3,928,Easy,71,1,6
4,957,Easy,72,1,6
5,987,Easy,74,1,6
6,1016,Normal,75,1,6
7,1045,Normal,76,1,6
8,1074,Normal,78,1,6
9,1103,Normal,79,1,6
10,1132,Normal,80,1,6
11,1161,Normal,82,1,6
12,1191,Normal,83,1,6
13,1220,Normal,85,1,6
14,1249,Normal,86,1,6
15,1278,Normal,87,1,6
16,1307,Normal,89,1,6
17,1336,Hard,90,1,6
18,1365,Hard,91,1,6
19,1394,Hard,93,1,6
20,1424,Hard,94,1,6
21,1453,Hard,96,1,6
22,1482,Hard,97,1,6
23,1511,Hard,98,1,6
24,1540,Hard,100,1,6
25,1569,Hard,101,1,6
26,1598,Hard,102,1,6
27,1628,Hard,104,1,6
28,1657,HardCode,105,1,6
29,1715,HardCode,108,1,6
30,3575,HardCode,109,1,6
