ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1405,Easy,114,1,0
2,1478,Easy,115,1,0
3,1552,Normal,117,1,0
4,1625,Normal,118,1,1
5,1698,Normal,120,1,0
6,1771,Normal,121,1,0
7,1845,Normal,122,1,0
8,1918,Normal,124,1,0
9,1991,Normal,125,1,2
10,2064,Normal,127,1,0
11,2138,Normal,128,1,0
12,2211,Normal,130,1,0
13,2284,Hard,131,1,0
14,2358,Hard,132,1,4
15,2431,Hard,134,1,0
16,2504,Hard,135,1,0
17,2577,Hard,137,1,0
18,2651,Hard,138,1,3
19,2724,Hard,139,1,0
20,2797,Hard,141,1,0
21,2871,Hard,142,1,0
22,2944,Hard,144,1,0
23,3017,Hard,145,1,5
24,3090,Hard,147,1,0
25,3164,HardCode,148,1,0
26,3237,HardCode,149,1,0
27,3310,HardCode,151,1,6
28,3383,HardCode,152,1,0
29,3530,HardCode,155,1,0
30,8910,HardCode,156,1,7
