ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,790,Easy,60,1,3
2,813,Easy,61,1,3
3,837,Easy,63,1,3
4,860,Easy,64,1,3
5,884,Easy,66,1,3
6,907,Normal,67,1,2
7,931,Normal,68,1,2
8,954,Normal,70,1,2
9,978,Normal,71,1,2
10,1001,Normal,72,1,2
11,1024,Normal,74,1,2
12,1048,Normal,75,1,2
13,1071,Normal,77,1,2
14,1095,Normal,78,1,2
15,1118,Normal,79,1,2
16,1142,Normal,81,1,2
17,1165,Hard,82,1,4
18,1189,Hard,83,1,4
19,1212,Hard,85,1,4
20,1236,Hard,86,1,4
21,1259,Hard,88,1,4
22,1282,Hard,89,1,4
23,1306,Hard,90,1,4
24,1329,Hard,92,1,4
25,1353,Hard,93,1,4
26,1376,Hard,94,1,4
27,1400,Hard,96,1,4
28,1423,HardCode,97,1,4
29,1470,HardCode,100,1,4
30,3050,HardCode,101,1,5
