ID 0,HP 1,AI 2,DAMAGE 3,SPD 4,SKINID 5
1,1705,Easy,134,1,1
2,1800,Easy,135,1,2
3,1895,Easy,137,1,3
4,1990,Easy,138,1,4
5,2085,Easy,140,1,5
6,2180,Easy,141,1,6
7,2275,Normal,142,1,7
8,2370,Normal,144,1,0
9,2465,Normal,145,1,0
10,2560,Normal,147,1,0
11,2655,Normal,148,1,1
12,2750,Normal,150,1,1
13,2845,Normal,151,1,1
14,2940,Normal,152,1,0
15,3035,Normal,154,1,0
16,3130,Hard,155,1,2
17,3225,Hard,157,1,2
18,3320,Hard,158,1,2
19,3415,Hard,159,1,0
20,3510,Hard,161,1,0
21,3605,Hard,162,1,3
22,3700,Hard,164,1,3
23,3795,Hard,165,1,3
24,3890,Hard,167,1,0
25,3985,Hard,168,1,0
26,4080,Hard,169,1,4
27,4175,Hard,171,1,4
28,4270,Hard,172,1,4
29,4460,Hard,175,1,0
30,10985,HardCode,176,1,5
